loc,dow,hr,traffic
BR,6,8,0.1473988789808917
BR,6,9,0.17825612101910834
BR,6,10,0.23713763694267512
BR,6,11,0.3063182420382166
BR,6,12,0.3715583949044586
BR,6,13,0.42797515286624194
BR,6,14,0.4785919044585983
BR,6,15,0.5299050254777073
BR,6,16,0.5793855796178343
BR,6,17,0.6083546178343949
BR,6,18,0.6197768535031846
BR,6,19,0.639300165605096
BR,6,20,0.6517362484076433
BR,6,21,0.6770039235668793
BR,6,22,0.7151359999999997
BR,6,23,0.7504208216560507
CA,0,0,0.7345632993630573
CA,0,1,0.780359668789809
CA,0,2,0.7952680318471337
CA,0,3,0.7653932611464969
CA,0,4,0.7040288152866239
CA,0,5,0.6016865031847134
CA,0,6,0.4916175222929936
CA,0,7,0.400555643312102
CA,0,8,0.32706911464968147
CA,0,9,0.2790377770700637
CA,0,10,0.2638799681528664
CA,0,11,0.2861065477707005
CA,0,12,0.33533557324840757
CA,0,13,0.3981075286624202
CA,0,14,0.4553574585987262
CA,0,15,0.4994622738853502
CA,0,16,0.5379879681528663
CA,0,17,0.5735409999999997
CA,0,18,0.6048600127388533
CA,0,19,0.6365007834394905
CA,0,20,0.6644498152866243
CA,0,21,0.6789026242038214
CA,0,22,0.6896302866242039
CA,0,23,0.7223836815286627
CA,1,0,0.773638770700637
CA,1,1,0.8042428789808921
CA,1,2,0.7982295987261147
CA,1,3,0.7360035859872617
CA,1,4,0.6426246305732481
CA,1,5,0.5395374394904459
CA,1,6,0.4438260127388536
CA,1,7,0.36114521019108276
CA,1,8,0.2987908789808918
CA,1,9,0.2682390127388534
CA,1,10,0.27026670700636934
CA,1,11,0.30238050955414014
CA,1,12,0.3511420127388533
CA,1,13,0.40668809554140123
CA,1,14,0.4509050636942678
CA,1,15,0.48359523566878965
CA,1,16,0.5109613312101912
CA,1,17,0.537351280254777
CA,1,18,0.560931
CA,1,19,0.5841292229299365
CA,1,20,0.6140107006369432
CA,1,21,0.6318610573248409
CA,1,22,0.6532260445859873
CA,1,23,0.6964838471337582
CA,2,0,0.7619367324840766
CA,2,1,0.8059290891719745
CA,2,2,0.8035180382165601
CA,2,3,0.736090331210191
CA,2,4,0.6406956815286626
CA,2,5,0.5311437133757959
CA,2,6,0.4376210955414012
CA,2,7,0.35502426923076913
CA,2,8,0.3117542564102563
CA,2,9,0.2808414551282052
CA,2,10,0.2793281602564102
CA,2,11,0.31128708974358976
CA,2,12,0.36104071153846146
CA,2,13,0.4106073333333333
CA,2,14,0.4514749102564102
CA,2,15,0.47638445512820493
CA,2,16,0.5077431410256411
CA,2,17,0.5355659743589744
CA,2,18,0.554263878205128
CA,2,19,0.5784905064102566
CA,2,20,0.6153638076923079
CA,2,21,0.6310249551282052
CA,2,22,0.649456467948718
CA,2,23,0.6978589423076925
CA,3,0,0.7688495128205127
CA,3,1,0.8151837756410254
CA,3,2,0.8115330897435898
CA,3,3,0.7438510961538457
CA,3,4,0.6473176858974362
CA,3,5,0.5385989551282052
CA,3,6,0.4351672243589745
CA,3,7,0.35301280769230775
CA,3,8,0.2990426089743589
CA,3,9,0.2735100833333335
CA,3,10,0.2791437756410256
CA,3,11,0.31252032051282036
CA,3,12,0.3628700769230768
CA,3,13,0.4111512307692308
CA,3,14,0.4530460833333332
CA,3,15,0.4787450320512821
CA,3,16,0.5055475256410253
CA,3,17,0.5311438782051282
CA,3,18,0.5500725256410256
CA,3,19,0.5758481923076925
CA,3,20,0.6106573397435896
CA,3,21,0.626068365384615
CA,3,22,0.6420961858974358
CA,3,23,0.6892059166666665
CA,4,0,0.7575595705128205
CA,4,1,0.7975649423076921
CA,4,2,0.7912947243589741
CA,4,3,0.7293644294871792
CA,4,4,0.6355642756410257
CA,4,5,0.5317108205128204
CA,4,6,0.4317717948717949
CA,4,7,0.35293312179487174
CA,4,8,0.2991078333333335
CA,4,9,0.27237048076923065
CA,4,10,0.2795830512820512
CA,4,11,0.313948717948718
CA,4,12,0.36009162179487175
CA,4,13,0.4103841538461539
CA,4,14,0.4482740448717946
CA,4,15,0.4765973461538461
CA,4,16,0.49888612820512807
CA,4,17,0.5240491474358974
CA,4,18,0.5445491858974355
CA,4,19,0.5708160256410257
CA,4,20,0.6008444230769231
CA,4,21,0.6197066282051283
CA,4,22,0.637602653846154
CA,4,23,0.6793841987179486
CA,5,0,0.7510006602564105
CA,5,1,0.7968184038461539
CA,5,2,0.7991325384615384
CA,5,3,0.742757826923077
CA,5,4,0.6534748717948721
CA,5,5,0.5429073846153848
CA,5,6,0.4476070256410256
CA,5,7,0.3719252820512819
CA,5,8,0.3104031719745222
CA,5,9,0.27579820382165604
CA,5,10,0.27767967515923586
CA,5,11,0.3130559745222929
CA,5,12,0.36319946496815286
CA,5,13,0.414707286624204
CA,5,14,0.45369835031847144
CA,5,15,0.4838252165605095
CA,5,16,0.5080512229299367
CA,5,17,0.5291641337579618
CA,5,18,0.5505467133757962
CA,5,19,0.5767697707006365
CA,5,20,0.599921070063694
CA,5,21,0.6140206178343947
CA,5,22,0.6247426433121018
CA,5,23,0.6514351337579618
CA,6,0,0.7081328471337577
CA,6,1,0.74921825477707
CA,6,2,0.7566031019108279
CA,6,3,0.7242003312101911
CA,6,4,0.6569651910828026
CA,6,5,0.5665646369426757
CA,6,6,0.47678435031847144
CA,6,7,0.3911949235668789
CA,6,8,0.32142137579617835
CA,6,9,0.28001021019108296
CA,6,10,0.2707002420382165
CA,6,11,0.29785509554140116
CA,6,12,0.35132751592356676
CA,6,13,0.40807580891719775
CA,6,14,0.45931670700636973
CA,6,15,0.49900280254777063
CA,6,16,0.5320531783439487
CA,6,17,0.5590973885350319
CA,6,18,0.5849158280254776
CA,6,19,0.6076995859872613
CA,6,20,0.625550949044586
CA,6,21,0.6407965605095542
CA,6,22,0.6500943375796178
CA,6,23,0.6757041401273887
DE,0,0,0.46469237579617845
DE,0,1,0.37981902547770696
DE,0,2,0.32985501910828025
DE,0,3,0.3164602866242039
DE,0,4,0.3326266305732485
DE,0,5,0.3840873566878981
DE,0,6,0.46360489808917205
DE,0,7,0.5449090509554139
DE,0,8,0.6116488089171974
DE,0,9,0.6678568535031847
DE,0,10,0.7077986242038214
DE,0,11,0.734519566878981
DE,0,12,0.7498674904458599
DE,0,13,0.756040070063694
DE,0,14,0.7636304267515925
DE,0,15,0.7704805987261147
DE,0,16,0.7838838025477706
DE,0,17,0.7990682738853502
DE,0,18,0.8285002929936304
DE,0,19,0.8503656560509553
DE,0,20,0.8426249426751594
DE,0,21,0.7662218471337583
DE,0,22,0.631050458598726
DE,0,23,0.4977189745222929
DE,1,0,0.4006537133757962
DE,1,1,0.33041835031847144
DE,1,2,0.3026891146496817
DE,1,3,0.31209354140127393
