loc,mon,mean_target,sd_target,n
ES,4,0.36969498333333345,0.17041358139171045,2160
ES,5,0.4033010394265235,0.1846436871350102,2232
ES,6,0.4622168092592589,0.19210080844691668,2160
ES,7,0.5142088024193546,0.20179529128251153,2232
ES,8,0.48580756272401404,0.19814414448565973,2232
ES,9,0.4337188276980087,0.18693944942392024,2159
ES,10,0.37329452956989245,0.16790987489275916,2232
ES,11,0.32446018240740804,0.18131763481544794,2160
ES,12,0.37510299327956964,0.17853953421324265,2232
FR,1,0.5541495165770614,0.2043891689766778,2232
FR,2,0.5593676931372548,0.20088597315468043,2040
FR,3,0.5559590510752681,0.19515100360578994,2232
FR,4,0.5688318449074075,0.19052718383736533,2160
FR,5,0.5514507737455198,0.19029062541931177,2232
FR,6,0.5206857374999997,0.18404229050203097,2160
FR,7,0.5961397267025083,0.19270663318371953,2232
FR,8,0.6027689807347671,0.1868315160915325,2232
FR,9,0.560354410838351,0.19431215494770776,2159
FR,10,0.5428057634408606,0.1955034271956659,2232
FR,11,0.4749148087962973,0.20895531228020212,2160
FR,12,0.5299886993727612,0.20582832352526592,2232
GB,1,0.45432488888888856,0.1895250563903286,2232
GB,2,0.4589190362745094,0.18804752421935678,2040
GB,3,0.45804380958781415,0.1845691077939259,2232
GB,4,0.4736482254629625,0.1885492745221859,2160
GB,5,0.4414439359318995,0.1766870739091977,2232
GB,6,0.46919316944444434,0.1808472161201072,2160
GB,7,0.5213301980286739,0.19076534129026074,2232
GB,8,0.5065022298387097,0.1924978281414281,2232
GB,9,0.4871381023622056,0.19085076457980263,2159
GB,10,0.46631675492831576,0.1695705451533232,2232
GB,11,0.4509406981481481,0.19683429948318293,2160
GB,12,0.4563677083333328,0.1938249811357501,2232
ID,1,0.6684601362007179,0.1847631569339082,2232
ID,2,0.6987522122549031,0.17935176610571316,2040
ID,3,0.6624612759856634,0.15636818592330656,2232
ID,4,0.674188792592593,0.15716375349139788,2160
ID,5,0.6352075434587805,0.16501004232167588,2232
ID,6,0.630089674074074,0.1668918538586286,2160
ID,7,0.646211445788531,0.1650605702450159,2232
ID,8,0.6548091594982072,0.17487847171649662,2232
ID,9,0.5511736655859193,0.1702551776191249,2159
